target_id,smiles,pAc
P15056,COC(CNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N)OC,4.04
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=CC=C3OC,4.13
P15056,CC(=O)NS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3,4.23
P15056,CC1=CC(=NN1C2=NC3=C(N2CC4=CC=CC=C4)C(=O)N(C(=O)N3C)C)C,4.24
P15056,CN1C2=C(C(=O)NC1=O)N(C(=N2)N/N=C\C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=CC=C4,4.24
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC(=C(C=C3)F)Cl,4.285
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NN(C)C3=CC=CC=C3,4.3
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCOC3=CC=C(C=C3)OC,4.33
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCOC3=CC=CC=C3,4.335
P15056,C1=CC2=C(C=C1S(=O)(=O)NCC(CO)O)C3=C(N2)C(=NC=C3)C(=O)N,4.35
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCC3=CC=CC=C3,4.35
P15056,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)OC)C(=O)NC3=CN=C(C=C3)C4=NC=CN4,4.39
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC4=C(C=C3)OC(C(O4)(F)F)(F)F,4.41
P15056,CN1C2=C(C(=O)NC1=O)N(C(=N2)N/N=C\C3=CC(=CC=C3)[N+](=O)[O-])CC=C,4.43
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC(=C(C(=C3)OC)OC)OC,4.43
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC4=C(C=C3)OC(O4)(F)F,4.43
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC4=C(C=C3)OCCO4,4.47
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCCC3=CC=CC=C3,4.48
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=COC=C3,4.48
P15056,CN1C2=C(C(=O)NC1=O)N(C(=N2)SC)CC3=CC=CC=C3,4.52
P15056,CC1C(N(C2=C(N1)NC(=NC2=O)NC(=O)C3=C[N+](=CC=C3)C)C(=O)C4=C[N+](=CC=C4)C)C,4.53
P15056,CCCNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N,4.55
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=C(C=C3)OC,4.59
P15056,C1=CC2=C(C=C1S(=O)(=O)NCCO)C3=C(N2)C(=NC=C3)C(=O)N,4.62
P15056,COCCCNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N,4.64
P15056,CC(CNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N)O,4.66
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=C(C=C3)OC(F)(F)F,4.68
P15056,C1=CC2=C(C=C1S(=O)(=O)NCCCO)C3=C(N2)C(=NC=C3)C(=O)N,4.69
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=NC(=CS3)C(C)(C)C,4.7
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC=CC=C3,4.74
P15056,C1=CC(=C(C=C1C2=C3C(=C(SC3=NC(=N2)N)C(=O)N)N)Cl)Cl,4.75
P15056,C/C(=C/CN1C2=C(N=C1N/N=C(/C)\C3=CC=C(C=C3)[N+](=O)[O-])N(C(=O)NC2=O)C)/Cl,4.76
P15056,CC1=CC(=NN1)CNC2=NC(=CN=C2)C3=CC(=CC=C3)NC(=O)C,4.795
P15056,CC1=C(C=C(C=C1)C(=O)NCC2CCOC2)NC3=NC=NC4=CN=C(N=C43)N5CCCC5,4.82
P15056,CC1=C(C=C(C=C1)C(=O)NC2CCCCC2)NC3=NC=NC4=CN=C(N=C43)N5CCCC5,4.82
P15056,C[C@@H](CC1=NC(=C2C(=C(SC2=N1)C(=O)N)N)C3=CC(=C(C=C3)Cl)Cl)CO,4.84
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC(=CC=C3)O,4.85
P15056,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=C(C=C(C=C3)OC)OC,4.87
P15056,CC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC4=C3C=CN=C4C(=O)N,4.87
P15056,CC1=CC(=NO1)CNC2=NC(=CN=C2)C3=CC(=CC=C3)NC(=O)C,4.9
P15056,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=CC(=CN=C4N3)C)C)C(=O)NC5CCN(CC5)C,4.92
P15056,COC1=CC=CC(=C1)C2=C3C(=C(SC3=NC(=N2)NC4CC4)C(=O)N)N,4.93
P15056,C/C(=N/NC1=NC2=C(N1CC3=CC=CC=C3)C(=O)NC(=O)N2C)/C4=CC=CC=C4,4.94
P15056,CN1C2=C(C(=O)NC1=O)N(C(=N2)SCC(=O)N)CC3=CC(=CC=C3)Br,4.96
