target_id,smiles,pAc
Q05397,COC1=CC=C(C=C1)CNC2=C3C4=CC=CC=C4OC3=NC=C2,3.71
Q05397,c1c(OC)ccc(CNc2ccnc3c2c2c(cccc2)o3)c1,3.71
Q05397,c12ccccc1oc1c2c(NCc2ccc(OC)cc2)ccn1,3.71
Q05397,c12c(cccc1)c1c(o2)nccc1NCc1ccc(OC)cc1,3.71
Q05397,COc1ccc(CNc2ccnc3oc4c(cccc4)c32)cc1,3.71
Q05397,C1C(=O)NN=C2N1C3=CC=CC=C3OC2,3.81
Q05397,C1(=O)NN=C2N(c3c(cccc3)OC2)C1,3.81
Q05397,C1(=O)NN=C2N(c3ccccc3OC2)C1,3.81
Q05397,N1=C2N(CC(=O)N1)c1ccccc1OC2,3.81
Q05397,C1C2=NNC(=O)CN2c2ccccc2O1,3.81
Q05397,CC(=O)NC1=CC=CC=C1NC2=NC(=NC(=N2)C(F)(F)F)NC3=CC(=C(C(=C3)OC)OC)OC,3.9
Q05397,COc1c(OC)cc(Nc2nc(C(F)(F)F)nc(Nc3c(NC(=O)C)cccc3)n2)cc1OC,3.9
Q05397,FC(F)(c1nc(Nc2ccccc2NC(C)=O)nc(Nc2cc(OC)c(OC)c(OC)c2)n1)F,3.9
Q05397,O(C)c1c(OC)c(OC)cc(Nc2nc(C(F)(F)F)nc(Nc3c(NC(=O)C)cccc3)n2)c1,3.9
Q05397,C(F)(c1nc(Nc2cc(OC)c(OC)c(OC)c2)nc(Nc2ccccc2NC(=O)C)n1)(F)F,3.9
Q05397,CN1C2=CC=CC=C2N=C1C3=NC4=C(C=C3)C(=O)N(C(=O)N4C)C,4.04
Q05397,Cn1c(-c2ccc3c(=O)n(C)c(=O)n(C)c3n2)nc2ccccc21,4.04
Q05397,c1c2c(nc(-c3nc4ccccc4n3C)c1)n(C)c(=O)n(C)c2=O,4.04
Q05397,O=c1n(C)c2c(c(=O)n1C)ccc(-c1n(C)c3c(cccc3)n1)n2,4.04
Q05397,n1c(-c2n(C)c3c(cccc3)n2)ccc2c(=O)n(C)c(=O)n(C)c12,4.04
Q05397,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)Cl,4.16
Q05397,c1cc2c(cc1)n(C)c(-c1ccnc(Nc3ccc(Cl)cc3)n1)n2,4.16
Q05397,c1(Nc2nc(-c3nc4c(n3C)cccc4)ccn2)ccc(Cl)cc1,4.16
Q05397,Cn1c(-c2ccnc(Nc3ccc(Cl)cc3)n2)nc2ccccc21,4.16
Q05397,Cn1c2c(cccc2)nc1-c1nc(Nc2ccc(Cl)cc2)ncc1,4.16
Q05397,CNC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NS(=O)(=O)C,4.18
Q05397,N(c1nc(Nc2cc(OC)c(OC)c(OC)c2)nc(NC)n1)c1c(NS(=O)(=O)C)cccc1,4.18
Q05397,c1(Nc2cc(OC)c(OC)c(OC)c2)nc(Nc2c(NS(=O)(C)=O)cccc2)nc(NC)n1,4.18
Q05397,N(c1c(NS(=O)(=O)C)cccc1)c1nc(NC)nc(Nc2cc(OC)c(OC)c(OC)c2)n1,4.18
Q05397,S(C)(=O)(Nc1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)nc(NC)n1)=O,4.18
Q05397,CC1=CC=C(C=C1)NC2=NC=CC(=N2)C3=NC4=CC=CC=C4N3C,4.24
Q05397,c1cc2c(cc1)n(C)c(-c1ccnc(Nc3ccc(C)cc3)n1)n2,4.24
Q05397,c1(Nc2nccc(-c3n(C)c4c(n3)cccc4)n2)ccc(C)cc1,4.24
Q05397,c1c2c(n(C)c(-c3nc(Nc4ccc(C)cc4)ncc3)n2)ccc1,4.24
Q05397,n1c(Nc2ccc(C)cc2)nc(-c2n(C)c3c(cccc3)n2)cc1,4.24
Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=N2)NC3=CC(=CC=C3)NS(=O)(=O)C)Cl,4.24
Q05397,c1cc(NS(C)(=O)=O)cc(Nc2nc(Cl)nc(Nc3cc(OC)c(OC)c(OC)c3)n2)c1,4.24
Q05397,c1ccc(NS(C)(=O)=O)cc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)nc(Cl)n1,4.24
Q05397,c1c(Nc2nc(Cl)nc(Nc3cccc(NS(=O)(=O)C)c3)n2)cc(OC)c(OC)c1OC,4.24
Q05397,c1(OC)c(OC)cc(Nc2nc(Cl)nc(Nc3cc(NS(=O)(C)=O)ccc3)n2)cc1OC,4.24
Q05397,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)N(C)C,4.27
Q05397,N(c1nc(C)nc(Nc2c(NC(=O)N(C)C)cccc2)n1)c1cc(OC)c(OC)c(OC)c1,4.27
Q05397,c1cc(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)nc(C)n2)c(NC(=O)N(C)C)cc1,4.27
Q05397,c1cccc(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)nc(C)n2)c1NC(N(C)C)=O,4.27
Q05397,c1c(NC(N(C)C)=O)c(Nc2nc(C)nc(Nc3cc(OC)c(OC)c(OC)c3)n2)ccc1,4.27
Q05397,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)C,4.29
Q05397,n1c(Nc2ccccc2NC(=O)C)nc(Nc2cc(OC)c(OC)c(OC)c2)nc1C,4.29
Q05397,c1(Nc2nc(Nc3c(NC(=O)C)cccc3)nc(C)n2)cc(OC)c(OC)c(OC)c1,4.29
Q05397,COc1cc(Nc2nc(Nc3ccccc3NC(=O)C)nc(C)n2)cc(OC)c1OC,4.29
Q05397,O(C)c1cc(Nc2nc(C)nc(Nc3c(NC(C)=O)cccc3)n2)cc(OC)c1OC,4.29
Q05397,CN1C=C(C2=CC=CC=C21)C3=C(CNC3=O)C4=CC(=C(C(=C4)OC)OC)OC,4.3
Q05397,c1c2c(C3=C(c4cc(OC)c(OC)c(OC)c4)CNC3=O)cn(C)c2ccc1,4.3
Q05397,c1ccc2n(C)cc(C3=C(c4cc(OC)c(OC)c(OC)c4)CNC3=O)c2c1,4.3
Q05397,C1(=O)NCC(c2cc(OC)c(OC)c(OC)c2)=C1c1cn(C)c2c1cccc2,4.3
Q05397,c12ccccc1n(C)cc2C1=C(c2cc(OC)c(OC)c(OC)c2)CNC1=O,4.3
Q05397,COC1=CC(=CC(=C1OC)OC)C2=C(CNC2=O)C3=CN(C4=CC=CC=C43)COC5=CC=CC=C5,4.37
Q05397,c1c(OC)c(OC)c(OC)cc1C1=C(c2c3ccccc3n(COc3ccccc3)c2)CNC1=O,4.37
Q05397,O(C)c1c(OC)c(OC)cc(C2=C(c3cn(COc4ccccc4)c4ccccc34)CNC2=O)c1,4.37
Q05397,COc1cc(C2=C(c3c4ccccc4n(COc4ccccc4)c3)CNC2=O)cc(OC)c1OC,4.37
Q05397,C1(c2cc(OC)c(OC)c(OC)c2)=C(c2c3ccccc3n(COc3ccccc3)c2)CNC1=O,4.37
Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=N2)NC3=CC=CC=C3NS(=O)(=O)C)Cl,4.38
Q05397,Clc1nc(Nc2c(NS(=O)(C)=O)cccc2)nc(Nc2cc(OC)c(OC)c(OC)c2)n1,4.38
Q05397,c1cccc(Nc2nc(Cl)nc(Nc3cc(OC)c(OC)c(OC)c3)n2)c1NS(=O)(=O)C,4.38
Q05397,c1cccc(NS(=O)(C)=O)c1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)nc(Cl)n1,4.38
Q05397,c1(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)nc(Cl)n2)c(NS(=O)(=O)C)cccc1,4.38
Q05397,CNC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC(=CC=C3)NS(=O)(=O)C,4.38
Q05397,c1(Nc2cccc(NS(C)(=O)=O)c2)nc(NC)nc(Nc2cc(OC)c(OC)c(OC)c2)n1,4.38
Q05397,c1(Nc2nc(NC)nc(Nc3cc(NS(C)(=O)=O)ccc3)n2)cc(OC)c(OC)c(OC)c1,4.38
Q05397,O(C)c1cc(Nc2nc(Nc3cccc(NS(=O)(=O)C)c3)nc(NC)n2)cc(OC)c1OC,4.38
Q05397,O(C)c1c(OC)c(OC)cc(Nc2nc(NC)nc(Nc3cccc(NS(=O)(=O)C)c3)n2)c1,4.38
Q05397,COC1=CC(=CC(=C1OC)OC)C2=C(CNC2=O)C3=CN(C4=CC=CC=C43)COCC5=CC=CC=C5,4.4
Q05397,c1c(C2=C(c3c4c(n(COCc5ccccc5)c3)cccc4)CNC2=O)cc(OC)c(OC)c1OC,4.4
Q05397,c1ccc(COCn2cc(C3=C(c4cc(OC)c(OC)c(OC)c4)C(=O)NC3)c3ccccc23)cc1,4.4
Q05397,C1(c2cn(COCc3ccccc3)c3ccccc32)=C(c2cc(OC)c(OC)c(OC)c2)C(=O)NC1,4.4
Q05397,C1(c2c3ccccc3n(COCc3ccccc3)c2)=C(c2cc(OC)c(OC)c(OC)c2)C(=O)NC1,4.4
Q05397,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=CC=C4,4.42
Q05397,c1(-c2ccnc(Nc3ccccc3)n2)n(C)c2c(cccc2)n1,4.42
Q05397,c1c(Nc2nc(-c3nc4c(n3C)cccc4)ccn2)cccc1,4.42
Q05397,c12ccccc1nc(-c1ccnc(Nc3ccccc3)n1)n2C,4.42
Q05397,c1(Nc2ccccc2)nccc(-c2n(C)c3c(cccc3)n2)n1,4.42
Q05397,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)OC,4.44
Q05397,c1ccc(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)nc(C)n2)c(NC(OC)=O)c1,4.44
Q05397,c1(OC)cc(Nc2nc(C)nc(Nc3c(NC(OC)=O)cccc3)n2)cc(OC)c1OC,4.44
Q05397,N(c1cc(OC)c(OC)c(OC)c1)c1nc(C)nc(Nc2c(NC(OC)=O)cccc2)n1,4.44
Q05397,COc1cc(Nc2nc(C)nc(Nc3c(NC(=O)OC)cccc3)n2)cc(OC)c1OC,4.44
Q05397,COCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.46
Q05397,COc1cc(C2=C(c3cn(COC)c4c3cccc4)CNC2=O)cc(OC)c1OC,4.46
Q05397,c1n(COC)c2c(cccc2)c1C1=C(c2cc(OC)c(OC)c(OC)c2)C(=O)NC1,4.46
Q05397,c1(C2=C(c3c4c(cccc4)n(COC)c3)CNC2=O)cc(OC)c(OC)c(OC)c1,4.46
Q05397,c1ccc2c(C3=C(c4cc(OC)c(OC)c(OC)c4)C(=O)NC3)cn(COC)c2c1,4.46
Q05397,CC1=CC=C(C=C1)CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3,4.47
Q05397,c1cccc2n(Cc3nnc(SCc4ccc(C)cc4)o3)nnc12,4.47
Q05397,c1(Cn2c3c(nn2)cccc3)nnc(SCc2ccc(C)cc2)o1,4.47
Q05397,c12c(cccc1)nnn2Cc1nnc(SCc2ccc(C)cc2)o1,4.47
Q05397,c1(SCc2ccc(C)cc2)nnc(Cn2nnc3ccccc23)o1,4.47
Q05397,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC(=C(C=C4)F)F,4.47
Q05397,c1(F)c(F)cc(CSc2nnc(Cn3nnc4c3cccc4)o2)cc1,4.47
Q05397,c1(CSc2nnc(Cn3c4c(cccc4)nn3)o2)ccc(F)c(F)c1,4.47
Q05397,c12n(Cc3nnc(SCc4ccc(F)c(F)c4)o3)nnc1cccc2,4.47
Q05397,c1(F)c(F)cc(CSc2oc(Cn3nnc4c3cccc4)nn2)cc1,4.47
Q05397,COC1=CC=CC=C1/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.52
Q05397,COc1c(/C=C\c2ncc([N+](=O)[O-])n2CCOC(=O)c2c3c(ccc2)OCCO3)cccc1,4.52
Q05397,c1([N+](=O)[O-])cnc(/C=C\c2ccccc2OC)n1CCOC(=O)c1c2c(ccc1)OCCO2,4.52
Q05397,c1cc2c(c(C(=O)OCCn3c(/C=C\c4c(OC)cccc4)ncc3[N+](=O)[O-])c1)OCCO2,4.52
Q05397,C(COC(=O)c1c2c(ccc1)OCCO2)n1c(/C=C\c2c(OC)cccc2)ncc1[N+]([O-])=O,4.52
Q05397,COC1=CC=C(C=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.54
Q05397,c12c(cccc1C(OCCn1c(/C=C\c3ccc(OC)cc3)ncc1[N+]([O-])=O)=O)OCCO2,4.54
Q05397,c1c([N+]([O-])=O)n(CCOC(c2c3c(ccc2)OCCO3)=O)c(/C=C\c2ccc(OC)cc2)n1,4.54
Q05397,C(=C\c1ncc([N+]([O-])=O)n1CCOC(c1cccc2c1OCCO2)=O)\c1ccc(OC)cc1,4.54
Q05397,c1c(C(OCCn2c([N+]([O-])=O)cnc2/C=C\c2ccc(OC)cc2)=O)c2c(cc1)OCCO2,4.54
Q05397,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC4=CC=CC=C4C=C3)C(=S)N,4.54
Q05397,c1cc2c(cc1)cc(C1N(C(N)=S)N=C(c3ccc(C)cc3)C1)cc2,4.54
Q05397,c1cc2ccc(C3CC(c4ccc(C)cc4)=NN3C(=S)N)cc2cc1,4.54
Q05397,c12ccccc1ccc(C1N(C(N)=S)N=C(c3ccc(C)cc3)C1)c2,4.54
Q05397,c1cc2cc(C3N(C(=S)N)N=C(c4ccc(C)cc4)C3)ccc2cc1,4.54
Q05397,CCOCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.55
Q05397,COc1c(OC)cc(C2=C(c3cn(COCC)c4c3cccc4)CNC2=O)cc1OC,4.55
