,target_id,smiles,pAc
30058,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC=C4C#N)C(F)(F)F)OC,8.22
29730,Q05397,CN(C)C(=O)CN1CCC(CC1)C2=CC=C(C=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)F,6.8
29307,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=C3C=CN(C3=N2)C4=CC=CC(=C4)CC(=O)NC5CCCC5,5.24
29508,Q05397,CNC(=O)C1=CC=CC=C1NC2=NC(=NC3=NC=CN32)NC4=CC=C(C=C4)C#N,6.15
29418,Q05397,COC1=CC=C(C=C1)NC2=NN3C=CC=C(C3=N2)N4CCS(=O)(=O)CC4,5.7200000000000015
29907,Q05397,CS(=O)(=O)C1=CC=C(C=C1)C2=CC=CN3C2=NC(=N3)NC4=CC=CC(=C4)N5CCNCC5,7.413333333333332
30168,Q05397,CN1CC[C@@H]([C@@H](C1)F)NC(=O)C2=CC(=C(C=C2F)NC3=NC=C(C(=N3)OC4=CC=CC5=C4C(=O)N(C5)OC)Cl)OC,9.0
30216,Q05397,CC1C(C(=O)C2=C1C=CC=C2OC3=NC(=NC=C3Cl)NC4=C(C=C(C(=C4)Cl)C(=O)N[C@H]5CCN(C[C@H]5F)C)OC)C,9.0
29503,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=C3C=CN(C3=N2)C4=NC(=NC=C4)Cl,6.1
30063,Q05397,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)CCC4=CC=CC=C4CC(=O)N)C(F)(F)F,8.259999999999998
29440,Q05397,CN(C)C(=O)CN1CCC2=C(CC1)C=C(C=C2)NC3=NN4C=CC=C(C4=N3)C5=C(C=CC(=C5)C(F)F)OCC(F)F,5.84
29471,Q05397,CS(=O)(=O)NC1=CC=CC(=C1)C2=CSC3=CN=C(N=C32)NC4=CN=C(C=C4)N5CCOCC5,6.0
29295,Q05397,COC1=CC=CC=C1CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3,5.15
29930,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=C3C=CN(C3=N2)C4=CC=CC(=C4)CCC(=O)O,7.46
