target_id,smiles,pAc
O75116,COC1=C(C=C(C=C1)CC(=O)NC2=CC=CC(=C2)C(=O)NCCC3CCCNC3)OC,2.49
O75116,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC=C(C=C3)C#N,2.77
O75116,COC1=C(C=C(C=C1)NC(=O)NCC2=CC=CC(=C2)C(=O)NCCC3CCCNC3)OC,2.8
O75116,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC=C(C=C3)OC,2.89
O75116,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC(=C2)C(=O)NC3=CC4=C(C=C3)C=NC=C4)OC,3.16
O75116,C1=CN=CC=C1NC(=O)C2=CC(=CN=C2)Br,3.45
O75116,C1=CN=CC=C1NC(=O)C2=C(C=CN=C2)Cl,3.65
O75116,C1=CC2=C(C=C1N)C=NN2,3.92
O75116,C1CC(CNC1)CCC(=O)NC2=CC=CC(=C2)CNC(=O)NC3=CC=C(C=C3)C#N,3.96
O75116,CN1CCCC(C1)CCNC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC(=C(C=C3)OC)OC,3.99
O75116,C1CNCCC1CCNC(=O)C2=CC(=CC=C2)CNC(=O)NC3=CC=C(C=C3)C#N,4.19
O75116,C1=CC=C(C=C1)NC(=O)NC2=CC3=C(C=C2)NN=C3,4.21
O75116,CC1=C(C=CN=C1)C2=CN=C(C(=N2)N3CCCN(CC3)C)N,4.24
O75116,C1=CC(=CN=C1)C(=O)NC2=CC=NC=C2,4.25
O75116,CN1CCCN(CC1)C2=NC(=CN=C2NCCOC)C3=CC=NC=C3,4.28
O75116,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=CC(=NC=C3)N,4.28
O75116,CN1CCCN(CC1)C2=NC(=CN=C2N(C)CCOC)C3=CC=NC=C3,4.35
O75116,CC(=O)NC1=CC2=C(C=C1)NN=C2,4.4
O75116,COC1=C(C=C(C=C1)NC(=O)CC2=CC(=CC=C2)NC(=O)CCC3CCCNC3)OC,4.43
O75116,CN(C)C(=O)NC1=CC2=C(C=C1)NN=C2,4.44
O75116,C1=CC=C(C=C1)C[C@@H](CO)NC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3,4.48
O75116,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCCNC(=O)CNCC(=O)NCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2,4.5
O75116,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC(=O)CNCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N,4.5
O75116,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCNC(=O)CNCC(=O)NCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2,4.5
O75116,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CNC(=O)CNCC(=O)NCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2,4.5
O75116,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC(=O)CNCC(=O)N[C@H](CCCCN)C(=O)NCCCCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N,4.5
O75116,C1=CC(=C2C=CNC2=C1)CNC(=O)NC3=NC(=CS3)C4=CC=NC=C4,4.51
O75116,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC(=C(C=C3)OC(F)(F)F)Cl,4.53
O75116,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)C1=CC=C(C=C1)CNC(=O)CNCC(=O)NCCNS(=O)(=O)C2=CC=CC3=C2C=CN=C3,4.57
O75116,CC[C@@H](C1=CC=CC=C1)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3,4.66
O75116,C1=CC=C(C=C1)CCNC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3,4.7
O75116,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC(=O)CNCC(=O)N[C@@H](CCCCN)C(=O)NCCCCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N,4.79
O75116,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=CC(=C4)C5CC5,4.8
O75116,C1CC(CN(C1)CC2=CC=C(C=C2)SC3CC3)NC4=CC=CC5=C4C=CN=C5,4.83
O75116,CN(C)CC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4,4.87
O75116,C1CC(CN(C1)CC2=CC=C(C=C2)N3CCOCC3)NC4=CC5=C(C=C4)NN=C5,4.91
O75116,C1CCN(C1)C2=CC=C(C=C2)CN3CCCC(C3)NC4=CC5=C(C=C4)NN=C5,4.91
O75116,COC[C@@H](C1=CC=CC=C1)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3,4.92
O75116,CS(=O)(=O)CC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4,4.93
O75116,C1CC(CN(C1)CC2=CC=C(C=C2)C#CCCO)NC3=CC4=C(C=C3)NN=C4,4.93
O75116,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC(=CC=C4)Cl,4.95
O75116,C[C@@H](C(=O)N1CCC(CC1)NC2=CC3=C(C=C2)NN=C3)O,5
O75116,CC1=C(C=NN1C)CNC(=O)C2=CC3=C(C=C2)C4=C(CO3)C=NC=C4,5
O75116,CC(C)OC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4,5
O75116,C1=CC=C2C(=C1)N/C(=C(/C#N)\C3=NC(=NC=C3)NCCC4=CN=CC=C4)/S2.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,5
O75116,C[C@@H](C1=CC(=CC=C1)OC)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3,5.03
O75116,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=C(C=C4)SC5CC5,5.05
