target_id,smiles,pAc
P00533,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,1.6
P00533,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C(=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O,1.72
P00533,C[C@@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC)O,1.96
P00533,COC1=C(C=C(C(=C1)N2CCN(CC2)C(=O)N3CCNCC3)NC(=O)C=C)NC4=NC=C(C(=N4)C5=C6C=CC=CN6N=C5)Cl,1.99
P00533,CN(C)CC(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC,2
P00533,C[C@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC)N,2.05
P00533,CNCC(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC,2.12
P00533,C1=CC(=CC=C1CC(C#N)C#N)O,2.19
P00533,COC1=C(C=C(C(=C1)N2CCN(CC2)C(=O)[C@@H]3CCCCN3)NC(=O)C=C)NC4=NC=C(C(=N4)C5=C6C=CC=CN6N=C5)Cl,2.22
P00533,COC1=C(C=C(C(=C1)N2CCN(CC2)C(=O)[C@H]3CCCCN3)NC(=O)C=C)NC4=NC=C(C(=N4)C5=C6C=CC=CN6N=C5)Cl,2.25
P00533,CN(C1=CN=CC=C1)C2=NC=C3C(=C2)C(=C(C=N3)C#N)NC4=CC(=C(C=C4)F)Cl,2.3
P00533,C1=CC(=CC=C1/C=C/C(=O)O)O,2.52
P00533,C1=CC(=CC=C1/C=C/C#N)O,2.62
P00533,C1=CC2=C(C=CN2)C=C1C=C(C#N)C#N,2.66
P00533,CS(=O)C1=CC=C(C=C1)C=C(C#N)C#N,2.74
P00533,C[C@@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC)N,2.8
P00533,C1=CC(=CC=C1C=C(C(=O)O)C(=O)O)O,2.82
P00533,C1=C(NN=C1)C=C(C#N)C#N,2.83
P00533,C(#N)C(=C1C(=O)NC(=O)NC1=O)C#N,2.85
P00533,C1=CC(=CC=C1C=C(C#N)C#N)C#N,2.85
P00533,C1=CNC(=C1)/C=C(/C#N)\C(=O)O,2.87
P00533,C1=C[N+](=CC=C1C=C(C#N)C#N)[O-],2.89
P00533,C1=CC(=CC=C1/C=C(\C#N)/C(=O)O)[N+](=O)[O-],2.89
P00533,C1CC2=C(C=CC=C2O)C(=C(C#N)C#N)C1,2.92
P00533,C/C(=C(/C#N)\C(=O)O)/C1=CC(=C(C=C1)O)OC,2.96
P00533,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,2.96
P00533,CN(C)C1CN(C1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC,3.03
P00533,COC1=CC(=CC(=C1O)OC)C(=C(C#N)C#N)C#N,3.05
P00533,C1=CC=C(C=C1)/C=C(\C#N)/C(=O)O,3.07
