target_id,smiles,pAc
Q05397,COC1=CC=C(C=C1)CNC2=C3C4=CC=CC=C4OC3=NC=C2,3.71
Q05397,C1C(=O)NN=C2N1C3=CC=CC=C3OC2,3.81
Q05397,CC(=O)NC1=CC=CC=C1NC2=NC(=NC(=N2)C(F)(F)F)NC3=CC(=C(C(=C3)OC)OC)OC,3.9
Q05397,CN1C2=CC=CC=C2N=C1C3=NC4=C(C=C3)C(=O)N(C(=O)N4C)C,4.04
Q05397,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)Cl,4.16
Q05397,CNC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NS(=O)(=O)C,4.18
Q05397,CC1=CC=C(C=C1)NC2=NC=CC(=N2)C3=NC4=CC=CC=C4N3C,4.24
Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=N2)NC3=CC(=CC=C3)NS(=O)(=O)C)Cl,4.24
Q05397,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)N(C)C,4.27
Q05397,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)C,4.29
Q05397,CN1C=C(C2=CC=CC=C21)C3=C(CNC3=O)C4=CC(=C(C(=C4)OC)OC)OC,4.3
Q05397,COC1=CC(=CC(=C1OC)OC)C2=C(CNC2=O)C3=CN(C4=CC=CC=C43)COC5=CC=CC=C5,4.37
Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=N2)NC3=CC=CC=C3NS(=O)(=O)C)Cl,4.38
Q05397,CNC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC(=CC=C3)NS(=O)(=O)C,4.38
Q05397,COC1=CC(=CC(=C1OC)OC)C2=C(CNC2=O)C3=CN(C4=CC=CC=C43)COCC5=CC=CC=C5,4.4
Q05397,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=CC=C4,4.42
Q05397,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)OC,4.44
Q05397,COCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.46
Q05397,CC1=CC=C(C=C1)CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3,4.47
Q05397,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC(=C(C=C4)F)F,4.47
Q05397,COC1=CC=CC=C1/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.52
Q05397,COC1=CC=C(C=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.54
Q05397,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC4=CC=CC=C4C=C3)C(=S)N,4.54
Q05397,CCOCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.55
Q05397,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC(=C(C=C4)Cl)Cl,4.55
Q05397,CC(C)(C)OCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.55
Q05397,CC(C)OCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.57
Q05397,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)OC,4.57
Q05397,CC1=CC=C(C=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.58
Q05397,COC1=CC=CC(=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.61
Q05397,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCOCC5,4.62
Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=NC(=N2)NC3=CC=CC=C3C(=O)NCCO,4.62
Q05397,CC1=CC=CC=C1/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-],4.63
Q05397,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC=C(C=C4)Br,4.63
Q05397,CC(=O)NC1=CC=CC=C1NC2=NC(=NC=N2)NC3=C(C=C(C=C3)OC)OC,4.68
Q05397,CC1=C(C(=C(C(=C1COC)C=O)O)O)O,4.69
Q05397,C1COC2=C(C=CC=C2O1)C(=O)OCCN3C(=CN=C3/C=C\C4=CC=CC=C4)[N+](=O)[O-],4.69
Q05397,C1=CC=C(C=C1)/C=C/C=N/NC(=O)CSC2=NN=C(N2C3=CC=CC=C3)C4=CC=NC=C4,4.71
Q05397,CS(=O)(=O)C1=CC=CC(=C1)NC2=NC=CC(=N2)NC3=C(C=CC4=C3OCO4)Cl,4.71
Q05397,C1COC2=C(C=CC=C2O1)C(=O)OCCN3C(=CN=C3/C=C\C4=CC=C(C=C4)Cl)[N+](=O)[O-],4.73
Q05397,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CN=C(C=C3)NC(=O)C4=C(C=CN(C4=O)C5=CC=CC=C5)NC6=CC=CC=C6,4.74
Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=NC(=N2)NC3=CC=CC=C3C(=O)OC,4.75
Q05397,C1=CC=C(C=C1)N2C(=NN=C2SCC3=C(C=C(C=C3)F)F)C4=CC=NC=C4,4.76
Q05397,C1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N/N=C/C3=CC=C(C=C3)F)C4=CC=NC=C4,4.76
Q05397,CNC1=C(C(=O)N(C=C1)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=C(C(=CC5=NC=C4)OC)OC,4.77
Q05397,CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CC[C@@H]2O)C)[C@H](C)/C=C/CC(C)C,4.77
