target_id,smiles,pAc
O00329,CS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N,1.4
O00329,O=S(c1cncc(-c2cc3n(nc(N)n3)cc2)c1)(C)=O,1.4
O00329,S(C)(=O)(=O)c1cncc(-c2ccn3c(nc(N)n3)c2)c1,1.4
O00329,c1c(-c2cc3nc(N)nn3cc2)cc(S(=O)(=O)C)cn1,1.4
O00329,CS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,1.4
O00329,n1c2cc(-c3cc(S(=O)(=O)C)cnc3)ccn2nc1N,1.4
O00329,c1ncc(S(=O)(C)=O)cc1-c1cc2nc(N)nn2cc1,1.4
O00329,Nc1nn2c(cc(-c3cncc(S(=O)(C)=O)c3)cc2)n1,1.4
O00329,CS(=O)(c1cncc(-c2ccn3nc(N)nc3c2)c1)=O,1.4
O00329,c1(N)nc2cc(-c3cncc(S(=O)(=O)C)c3)ccn2n1,1.4
O00329,C1=CN2C(=NC(=N2)N)C=C1C3=CC(=CN=C3)S(=O)(=O)N,1.5
O00329,n1c(N)nc2cc(-c3cc(S(N)(=O)=O)cnc3)ccn12,1.5
O00329,c1c(-c2cc3n(nc(N)n3)cc2)cncc1S(N)(=O)=O,1.5
O00329,S(N)(=O)(c1cc(-c2cc3nc(N)nn3cc2)cnc1)=O,1.5
O00329,n1cc(-c2cc3n(cc2)nc(N)n3)cc(S(=O)(=O)N)c1,1.5
O00329,n1n2ccc(-c3cc(S(=O)(N)=O)cnc3)cc2nc1N,1.5
O00329,n12c(nc(N)n1)cc(-c1cc(S(=O)(N)=O)cnc1)cc2,1.5
O00329,O=S(N)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,1.5
O00329,c1(-c2cc(S(N)(=O)=O)cnc2)ccn2c(nc(N)n2)c1,1.5
O00329,c1ncc(S(=O)(=O)N)cc1-c1cc2n(nc(N)n2)cc1,1.5
O00329,CC(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N,1.5
O00329,Nc1nn2c(cc(-c3cncc(S(=O)(NC(C)C)=O)c3)cc2)n1,1.5
O00329,S(=O)(c1cc(-c2cc3n(nc(N)n3)cc2)cnc1)(NC(C)C)=O,1.5
O00329,N(C(C)C)S(c1cc(-c2ccn3nc(N)nc3c2)cnc1)(=O)=O,1.5
O00329,c1ncc(S(=O)(=O)NC(C)C)cc1-c1cc2nc(N)nn2cc1,1.5
O00329,n1c(N)nn2c1cc(-c1cc(S(=O)(NC(C)C)=O)cnc1)cc2,1.5
O00329,c1c(S(=O)(=O)NC(C)C)cc(-c2cc3nc(N)nn3cc2)cn1,1.5
O00329,c12cc(-c3cncc(S(=O)(NC(C)C)=O)c3)ccn1nc(N)n2,1.5
O00329,c1c2nc(N)nn2ccc1-c1cc(S(=O)(NC(C)C)=O)cnc1,1.5
O00329,Nc1nc2cc(-c3cc(S(=O)(NC(C)C)=O)cnc3)ccn2n1,1.5
O00329,CC1(CCN1S(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N)C,1.5
O00329,c1(-c2cncc(S(=O)(N3C(C)(C)CC3)=O)c2)cc2nc(N)nn2cc1,1.5
O00329,c1n2nc(N)nc2cc(-c2cncc(S(N3CCC3(C)C)(=O)=O)c2)c1,1.5
O00329,C1N(S(c2cc(-c3cc4nc(N)nn4cc3)cnc2)(=O)=O)C(C)(C)C1,1.5
O00329,C1C(C)(C)N(S(=O)(=O)c2cncc(-c3ccn4c(nc(N)n4)c3)c2)C1,1.5
O00329,N1(S(=O)(c2cncc(-c3cc4n(nc(N)n4)cc3)c2)=O)C(C)(C)CC1,1.5
O00329,c1cc(-c2cncc(S(N3C(C)(C)CC3)(=O)=O)c2)cc2nc(N)nn12,1.5
O00329,c1ncc(-c2cc3n(cc2)nc(N)n3)cc1S(=O)(=O)N1C(C)(C)CC1,1.5
O00329,n12nc(N)nc1cc(-c1cc(S(=O)(N3C(C)(C)CC3)=O)cnc1)cc2,1.5
O00329,c12cc(-c3cncc(S(=O)(=O)N4C(C)(C)CC4)c3)ccn1nc(N)n2,1.5
O00329,CC(C)(C(F)(F)F)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N,1.5
O00329,FC(F)(C(C)(NS(=O)(=O)c1cc(-c2ccn3nc(N)nc3c2)cnc1)C)F,1.5
O00329,FC(C(C)(NS(=O)(=O)c1cc(-c2cc3nc(N)nn3cc2)cnc1)C)(F)F,1.5
O00329,N(S(=O)(c1cc(-c2ccn3nc(N)nc3c2)cnc1)=O)C(C)(C)C(F)(F)F,1.5
O00329,n12c(cc(-c3cc(S(=O)(NC(C(F)(F)F)(C)C)=O)cnc3)cc1)nc(N)n2,1.5
O00329,CC(NS(c1cc(-c2ccn3c(nc(N)n3)c2)cnc1)(=O)=O)(C)C(F)(F)F,1.5
O00329,c1(-c2cc(S(NC(C)(C(F)(F)F)C)(=O)=O)cnc2)cc2n(nc(N)n2)cc1,1.5
O00329,c1cn2nc(N)nc2cc1-c1cc(S(=O)(NC(C)(C(F)(F)F)C)=O)cnc1,1.5
O00329,c1c(-c2cc(S(NC(C)(C)C(F)(F)F)(=O)=O)cnc2)cc2n(c1)nc(N)n2,1.5
O00329,n1c2n(nc1N)ccc(-c1cncc(S(=O)(=O)NC(C)(C(F)(F)F)C)c1)c2,1.5
O00329,CNS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N,1.6
O00329,c1c(-c2cc(S(=O)(=O)NC)cnc2)cc2nc(N)nn2c1,1.6
O00329,c1(N)nn2ccc(-c3cncc(S(=O)(=O)NC)c3)cc2n1,1.6
O00329,c1cc(-c2cncc(S(NC)(=O)=O)c2)cc2nc(N)nn12,1.6
O00329,c1(N)nn2ccc(-c3cncc(S(=O)(NC)=O)c3)cc2n1,1.6
O00329,Nc1nn2ccc(-c3cncc(S(NC)(=O)=O)c3)cc2n1,1.6
