target_id,smiles,pAc
P24941,C1CN(C2=CC=CC=C21)CCN3CCC4=CC=CC=C43,2.91
P24941,c1ccc2c(c1)CCN2CCN1c2ccccc2CC1,2.91
P24941,N1(CCN2CCc3ccccc32)c2ccccc2CC1,2.91
P24941,c12c(cccc1)N(CCN1CCc3c1cccc3)CC2,2.91
P24941,c1ccc2c(c1)N(CCN1c3c(cccc3)CC1)CC2,2.91
P24941,C(N1c2ccccc2CC1)CN1CCc2c1cccc2,2.91
P24941,c1cccc2c1CCN2CCN1c2ccccc2CC1,2.91
P24941,c1c2c(ccc1)CCN2CCN1c2ccccc2CC1,2.91
P24941,c12c(cccc1)CCN2CCN1c2ccccc2CC1,2.91
P24941,C(CN1CCc2c1cccc2)N1CCc2ccccc21,2.91
P24941,C(CN1CCc2ccccc21)N1c2ccccc2CC1,2.91
P24941,N1(CCN2CCc3ccccc32)c2c(cccc2)CC1,2.91
P24941,c1cc2c(cc1)CCN2CCN1CCc2c1cccc2,2.91
P24941,c1cccc2c1N(CCN1c3c(cccc3)CC1)CC2,2.91
P24941,C(CN1c2c(cccc2)CC1)N1c2c(cccc2)CC1,2.91
P24941,C1=CC=C(C(=C1)C2=CC=C(C=C2)F)C(=O)NCCC3=CNC4=CC=CC=C43,2.92
P24941,c1(-c2ccc(F)cc2)ccccc1C(NCCc1c[nH]c2ccccc21)=O,2.92
P24941,[nH]1cc(CCNC(c2c(-c3ccc(F)cc3)cccc2)=O)c2ccccc12,2.92
P24941,c1cc2c(CCNC(c3c(-c4ccc(F)cc4)cccc3)=O)c[nH]c2cc1,2.92
P24941,c1ccc2c(CCNC(c3ccccc3-c3ccc(F)cc3)=O)c[nH]c2c1,2.92
P24941,c1(C(NCCc2c3ccccc3[nH]c2)=O)ccccc1-c1ccc(F)cc1,2.92
P24941,N(CCc1c2ccccc2[nH]c1)C(c1ccccc1-c1ccc(F)cc1)=O,2.92
P24941,[nH]1cc(CCNC(c2c(-c3ccc(F)cc3)cccc2)=O)c2ccccc12,2.92
P24941,[nH]1c2ccccc2c(CCNC(c2ccccc2-c2ccc(F)cc2)=O)c1,2.92
P24941,c1cc(-c2ccc(F)cc2)c(C(=O)NCCc2c3ccccc3[nH]c2)cc1,2.92
P24941,c1cc(C(NCCc2c[nH]c3ccccc32)=O)c(-c2ccc(F)cc2)cc1,2.92
P24941,c1cc2[nH]cc(CCNC(c3c(-c4ccc(F)cc4)cccc3)=O)c2cc1,2.92
P24941,c1ccc2[nH]cc(CCNC(c3c(-c4ccc(F)cc4)cccc3)=O)c2c1,2.92
P24941,c1(-c2ccc(F)cc2)ccccc1C(=O)NCCc1c2c([nH]c1)cccc2,2.92
P24941,C(=O)(NCCc1c2c([nH]c1)cccc2)c1c(-c2ccc(F)cc2)cccc1,2.92
P24941,C1=CC=C2C(=C1)C=CN2CCCCCCN3C=CC4=CC=CC=C43,2.92
