target_id,smiles,pAc
Q16539,C1=CC=C(C=C1)COC2=C(N=CC=C2)N,3.4450000000000003
Q16539,c1cnc(N)c(OCc2ccccc2)c1,3.4450000000000003
Q16539,c1cnc(N)c(OCc2ccccc2)c1,3.4450000000000003
Q16539,c1(OCc2ccccc2)c(N)nccc1,3.4450000000000003
Q16539,c1(COc2cccnc2N)ccccc1,3.4450000000000003
Q16539,O(c1cccnc1N)Cc1ccccc1,3.4450000000000003
Q16539,O(Cc1ccccc1)c1cccnc1N,3.4450000000000003
Q16539,c1(N)c(OCc2ccccc2)cccn1,3.4450000000000003
Q16539,c1ccccc1COc1cccnc1N,3.4450000000000003
Q16539,c1cccc(COc2cccnc2N)c1,3.4450000000000003
Q16539,c1(COc2c(N)nccc2)ccccc1,3.4450000000000003
Q16539,c1c(COc2c(N)nccc2)cccc1,3.4450000000000003
Q16539,c1cc(OCc2ccccc2)c(N)nc1,3.4450000000000003
Q16539,C(c1ccccc1)Oc1cccnc1N,3.4450000000000003
Q16539,c1(COc2cccnc2N)ccccc1,3.4450000000000003
Q16539,C[C@@H]1[C@@H]([C@H](O[C@@H]1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C,3.6
Q16539,[C@H]1(C)[C@@H](C)[C@@H](c2cc3c(cc2)OCO3)O[C@@H]1c1cc2c(cc1)OCO2,3.6
Q16539,c12ccc([C@H]3O[C@H](c4ccc5c(c4)OCO5)[C@@H](C)[C@H]3C)cc1OCO2,3.6
Q16539,O1c2ccc([C@H]3O[C@H](c4ccc5c(c4)OCO5)[C@@H](C)[C@H]3C)cc2OC1,3.6
Q16539,[C@@H]1(c2cc3c(cc2)OCO3)[C@@H](C)[C@@H](C)[C@@H](c2cc3c(cc2)OCO3)O1,3.6
Q16539,c1c([C@H]2O[C@H](c3ccc4c(c3)OCO4)[C@@H](C)[C@H]2C)ccc2c1OCO2,3.6
Q16539,O1COc2c1ccc([C@H]1O[C@H](c3cc4c(cc3)OCO4)[C@@H](C)[C@H]1C)c2,3.6
Q16539,c1c2c(cc([C@H]3O[C@H](c4cc5c(cc4)OCO5)[C@@H](C)[C@H]3C)c1)OCO2,3.6
Q16539,c12c(ccc([C@@H]3[C@@H](C)[C@@H](C)[C@@H](c4cc5c(cc4)OCO5)O3)c1)OCO2,3.6
Q16539,c1c2c(cc([C@H]3O[C@H](c4cc5c(cc4)OCO5)[C@H](C)[C@@H]3C)c1)OCO2,3.6
Q16539,O1c2ccc([C@@H]3[C@@H](C)[C@@H](C)[C@@H](c4cc5c(cc4)OCO5)O3)cc2OC1,3.6
Q16539,O1COc2cc([C@@H]3[C@@H](C)[C@@H](C)[C@@H](c4cc5c(cc4)OCO5)O3)ccc21,3.6
Q16539,c1cc2c(cc1[C@H]1O[C@H](c3cc4c(cc3)OCO4)[C@H](C)[C@@H]1C)OCO2,3.6
Q16539,C1Oc2cc([C@@H]3[C@@H](C)[C@@H](C)[C@@H](c4ccc5c(c4)OCO5)O3)ccc2O1,3.6
Q16539,C[C@@H]1[C@H](C)[C@@H](c2cc3c(cc2)OCO3)O[C@@H]1c1cc2c(cc1)OCO2,3.6
Q16539,C1OC2=C(O1)C=C(C=C2)C(CC(=O)C3=CC4=C(C=C3)OCO4)C(=O)O,3.71
Q16539,C(c1ccc2c(c1)OCO2)(CC(c1ccc2c(c1)OCO2)=O)C(O)=O,3.71
Q16539,c1cc(C(=O)CC(c2ccc3c(c2)OCO3)C(=O)O)cc2c1OCO2,3.71
Q16539,c1(C(=O)CC(c2cc3c(cc2)OCO3)C(=O)O)cc2c(cc1)OCO2,3.71
Q16539,c1c2c(cc(C(CC(c3cc4c(cc3)OCO4)C(O)=O)=O)c1)OCO2,3.71
Q16539,O=C(CC(C(=O)O)c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,3.71
Q16539,c1(C(CC(c2cc3c(cc2)OCO3)C(O)=O)=O)ccc2c(c1)OCO2,3.71
Q16539,C(=O)(c1cc2c(cc1)OCO2)CC(c1cc2c(cc1)OCO2)C(=O)O,3.71
Q16539,OC(C(c1ccc2c(c1)OCO2)CC(c1ccc2c(c1)OCO2)=O)=O,3.71
Q16539,C1Oc2ccc(C(C(=O)O)CC(c3cc4c(cc3)OCO4)=O)cc2O1,3.71
Q16539,O1c2ccc(C(=O)CC(c3cc4c(cc3)OCO4)C(O)=O)cc2OC1,3.71
Q16539,O1c2c(cc(C(CC(C(=O)O)c3ccc4c(c3)OCO4)=O)cc2)OC1,3.71
Q16539,c1cc(C(C(=O)O)CC(=O)c2cc3c(cc2)OCO3)cc2c1OCO2,3.71
Q16539,c1c2c(cc(C(CC(=O)c3ccc4c(c3)OCO4)C(O)=O)c1)OCO2,3.71
Q16539,C1Oc2cc(C(C(O)=O)CC(=O)c3cc4c(cc3)OCO4)ccc2O1,3.71
Q16539,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,3.78
Q16539,c1c(-n2c(=O)ccc(C)c2)cccc1,3.78
Q16539,c1ccc(-n2cc(C)ccc2=O)cc1,3.78
Q16539,c1(C)ccc(=O)n(-c2ccccc2)c1,3.78
Q16539,c1ccccc1-n1c(=O)ccc(C)c1,3.78
Q16539,c1cc(C)cn(-c2ccccc2)c1=O,3.78
Q16539,c1(-n2cc(C)ccc2=O)ccccc1,3.78
Q16539,c1cc(C)cn(-c2ccccc2)c1=O,3.78
Q16539,c1(C)cn(-c2ccccc2)c(=O)cc1,3.78
Q16539,c1cc(-n2c(=O)ccc(C)c2)ccc1,3.78
Q16539,c1c(C)ccc(=O)n1-c1ccccc1,3.78
Q16539,c1(-n2c(=O)ccc(C)c2)ccccc1,3.78
Q16539,c1ccccc1-n1c(=O)ccc(C)c1,3.78
Q16539,c1cc(=O)n(-c2ccccc2)cc1C,3.78
Q16539,c1ccc(-n2cc(C)ccc2=O)cc1,3.78
Q16539,C1=CC=C(C=C1)CN2C=C(N=N2)C3=NC(=C(O3)C4=CC=NC=C4)C5=CC=C(C=C5)F,3.8
Q16539,c1cc(Cn2cc(-c3oc(-c4ccncc4)c(-c4ccc(F)cc4)n3)nn2)ccc1,3.8
Q16539,c1c(Cn2cc(-c3nc(-c4ccc(F)cc4)c(-c4ccncc4)o3)nn2)cccc1,3.8
Q16539,c1c(-c2c(-c3ccncc3)oc(-c3cn(Cc4ccccc4)nn3)n2)ccc(F)c1,3.8
Q16539,c1c(-c2c(-c3ccc(F)cc3)nc(-c3cn(Cc4ccccc4)nn3)o2)ccnc1,3.8
Q16539,c1(Cn2nnc(-c3nc(-c4ccc(F)cc4)c(-c4ccncc4)o3)c2)ccccc1,3.8
Q16539,c1c(-c2c(-c3ccncc3)oc(-c3cn(Cc4ccccc4)nn3)n2)ccc(F)c1,3.8
Q16539,c1(-c2c(-c3ccc(F)cc3)nc(-c3nnn(Cc4ccccc4)c3)o2)ccncc1,3.8
Q16539,c1ccc(Cn2nnc(-c3oc(-c4ccncc4)c(-c4ccc(F)cc4)n3)c2)cc1,3.8
Q16539,c1(-c2ccncc2)c(-c2ccc(F)cc2)nc(-c2nnn(Cc3ccccc3)c2)o1,3.8
Q16539,c1ccc(Cn2cc(-c3nc(-c4ccc(F)cc4)c(-c4ccncc4)o3)nn2)cc1,3.8
Q16539,c1c(-c2nc(-c3nnn(Cc4ccccc4)c3)oc2-c2ccncc2)ccc(F)c1,3.8
Q16539,c1c(-c2nc(-c3cn(Cc4ccccc4)nn3)oc2-c2ccncc2)ccc(F)c1,3.8
Q16539,c1ccc(Cn2nnc(-c3nc(-c4ccc(F)cc4)c(-c4ccncc4)o3)c2)cc1,3.8
Q16539,c1(-c2ccncc2)oc(-c2cn(Cc3ccccc3)nn2)nc1-c1ccc(F)cc1,3.8
Q16539,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC,4.0
Q16539,c1c(-n2n(CC(O)(C)C)c(C)c(C(=O)Nc3ccc(Oc4c5c(cc(OC)cc5)ncc4)cn3)c2=O)cccc1,4.0
Q16539,n1ccc(Oc2cnc(NC(=O)c3c(=O)n(-c4ccccc4)n(CC(C)(C)O)c3C)cc2)c2c1cc(OC)cc2,4.0
Q16539,O(c1cnc(NC(c2c(=O)n(-c3ccccc3)n(CC(C)(O)C)c2C)=O)cc1)c1c2c(cc(OC)cc2)ncc1,4.0
Q16539,OC(C)(Cn1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc43)cn2)c(=O)n1-c1ccccc1)C,4.0
Q16539,c1cc2c(Oc3cnc(NC(c4c(C)n(CC(O)(C)C)n(-c5ccccc5)c4=O)=O)cc3)ccnc2cc1OC,4.0
Q16539,N(c1ncc(Oc2c3c(cc(OC)cc3)ncc2)cc1)C(=O)c1c(C)n(CC(O)(C)C)n(-c2ccccc2)c1=O,4.0
Q16539,c1(C)c(C(Nc2ccc(Oc3ccnc4cc(OC)ccc43)cn2)=O)c(=O)n(-c2ccccc2)n1CC(C)(C)O,4.0
Q16539,c1(=O)c(C(Nc2ncc(Oc3ccnc4c3ccc(OC)c4)cc2)=O)c(C)n(CC(O)(C)C)n1-c1ccccc1,4.0
Q16539,c1cc(NC(=O)c2c(C)n(CC(O)(C)C)n(-c3ccccc3)c2=O)ncc1Oc1ccnc2c1ccc(OC)c2,4.0
Q16539,C(n1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc43)cn2)c(=O)n1-c1ccccc1)C(C)(O)C,4.0
Q16539,c1cc(-n2c(=O)c(C(=O)Nc3ncc(Oc4c5c(cc(OC)cc5)ncc4)cc3)c(C)n2CC(O)(C)C)ccc1,4.0
Q16539,c1c2c(c(Oc3cnc(NC(c4c(=O)n(-c5ccccc5)n(CC(C)(C)O)c4C)=O)cc3)ccn2)ccc1OC,4.0
Q16539,n1(-c2ccccc2)c(=O)c(C(=O)Nc2ccc(Oc3c4c(cc(OC)cc4)ncc3)cn2)c(C)n1CC(C)(C)O,4.0
Q16539,CC(C)(O)Cn1c(C)c(C(Nc2ccc(Oc3c4c(cc(OC)cc4)ncc3)cn2)=O)c(=O)n1-c1ccccc1,4.0
Q16539,CN1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO,4.0
Q16539,N(Cc1ccccc1)c1nc(NCCO)nc2n(C)cnc21,4.0
Q16539,c1(NCCO)nc(NCc2ccccc2)c2ncn(C)c2n1,4.0
Q16539,Cn1c2c(nc1)c(NCc1ccccc1)nc(NCCO)n2,4.0
Q16539,Cn1c2nc(NCCO)nc(NCc3ccccc3)c2nc1,4.0
Q16539,c1(CNc2nc(NCCO)nc3n(C)cnc23)ccccc1,4.0
Q16539,n1c(NCCO)nc2n(C)cnc2c1NCc1ccccc1,4.0
Q16539,c1(NCc2ccccc2)c2ncn(C)c2nc(NCCO)n1,4.0
Q16539,c1ccc(CNc2c3c(n(C)cn3)nc(NCCO)n2)cc1,4.0
Q16539,n1c2c(NCc3ccccc3)nc(NCCO)nc2n(C)c1,4.0
Q16539,N(c1c2ncn(C)c2nc(NCCO)n1)Cc1ccccc1,4.0
Q16539,n1c2c(c(NCc3ccccc3)nc1NCCO)ncn2C,4.0
Q16539,n1c(NCc2ccccc2)c2ncn(C)c2nc1NCCO,4.0
Q16539,n1c(NCc2ccccc2)c2c(n(C)cn2)nc1NCCO,4.0
Q16539,N(CCO)c1nc2n(C)cnc2c(NCc2ccccc2)n1,4.0
Q16539,CC1=C(C=C(C=C1)C2=NNC(=C2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4.0
Q16539,c1c(NC(c2ccc(OCc3ncccc3)cc2)=O)c(C)ccc1-c1cc(C(F)(F)F)[nH]n1,4.0
Q16539,c1c(C)c(NC(c2ccc(OCc3ccccn3)cc2)=O)cc(-c2cc(C(F)(F)F)[nH]n2)c1,4.0
Q16539,c1c(OCc2ncccc2)ccc(C(=O)Nc2cc(-c3cc(C(F)(F)F)[nH]n3)ccc2C)c1,4.0
Q16539,n1[nH]c(C(F)(F)F)cc1-c1ccc(C)c(NC(c2ccc(OCc3ncccc3)cc2)=O)c1,4.0
Q16539,C(F)(F)(c1cc(-c2ccc(C)c(NC(c3ccc(OCc4ncccc4)cc3)=O)c2)n[nH]1)F,4.0
Q16539,c1(-c2cc(NC(c3ccc(OCc4ccccn4)cc3)=O)c(C)cc2)n[nH]c(C(F)(F)F)c1,4.0
Q16539,c1cccnc1COc1ccc(C(Nc2cc(-c3n[nH]c(C(F)(F)F)c3)ccc2C)=O)cc1,4.0
Q16539,c1c(COc2ccc(C(Nc3c(C)ccc(-c4cc(C(F)(F)F)[nH]n4)c3)=O)cc2)nccc1,4.0
Q16539,Cc1c(NC(c2ccc(OCc3ncccc3)cc2)=O)cc(-c2cc(C(F)(F)F)[nH]n2)cc1,4.0
Q16539,c1c(NC(c2ccc(OCc3ncccc3)cc2)=O)c(C)ccc1-c1cc(C(F)(F)F)[nH]n1,4.0
Q16539,c1(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)n[nH]c(C(F)(F)F)c1,4.0
Q16539,c1ccnc(COc2ccc(C(Nc3cc(-c4cc(C(F)(F)F)[nH]n4)ccc3C)=O)cc2)c1,4.0
Q16539,c1c(OCc2ncccc2)ccc(C(Nc2c(C)ccc(-c3n[nH]c(C(F)(F)F)c3)c2)=O)c1,4.0
Q16539,c1(COc2ccc(C(Nc3c(C)ccc(-c4n[nH]c(C(F)(F)F)c4)c3)=O)cc2)ccccn1,4.0
Q16539,CC1=C(C=C(C=C1)C2=NC=C(N2C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4.0
Q16539,c1ccnc(COc2ccc(C(Nc3c(C)ccc(-c4n(C)c(C)cn4)c3)=O)cc2)c1,4.0
Q16539,c1cc(-c2ncc(C)n2C)cc(NC(c2ccc(OCc3ccccn3)cc2)=O)c1C,4.0
Q16539,O=C(Nc1cc(-c2n(C)c(C)cn2)ccc1C)c1ccc(OCc2ncccc2)cc1,4.0
Q16539,c1c(COc2ccc(C(Nc3cc(-c4n(C)c(C)cn4)ccc3C)=O)cc2)nccc1,4.0
Q16539,c1(NC(=O)c2ccc(OCc3ncccc3)cc2)c(C)ccc(-c2n(C)c(C)cn2)c1,4.0
Q16539,c1ccnc(COc2ccc(C(Nc3c(C)ccc(-c4ncc(C)n4C)c3)=O)cc2)c1,4.0
Q16539,c1(C(Nc2c(C)ccc(-c3ncc(C)n3C)c2)=O)ccc(OCc2ccccn2)cc1,4.0
Q16539,c1cc(C(Nc2c(C)ccc(-c3n(C)c(C)cn3)c2)=O)ccc1OCc1ccccn1,4.0
Q16539,Cn1c(-c2ccc(C)c(NC(c3ccc(OCc4ncccc4)cc3)=O)c2)ncc1C,4.0
Q16539,Cc1n(C)c(-c2cc(NC(=O)c3ccc(OCc4ncccc4)cc3)c(C)cc2)nc1,4.0
Q16539,c1cccc(COc2ccc(C(=O)Nc3cc(-c4ncc(C)n4C)ccc3C)cc2)n1,4.0
Q16539,c1c(-c2n(C)c(C)cn2)cc(NC(c2ccc(OCc3ncccc3)cc2)=O)c(C)c1,4.0
Q16539,c1(C(=O)Nc2c(C)ccc(-c3n(C)c(C)cn3)c2)ccc(OCc2ncccc2)cc1,4.0
Q16539,c1(C)n(C)c(-c2ccc(C)c(NC(c3ccc(OCc4ncccc4)cc3)=O)c2)nc1,4.0
Q16539,CC1=C(C=C(C=C1)C2=CN(C(=N2)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4.0
Q16539,O=C(Nc1c(C)ccc(-c2nc(C)n(C)c2)c1)c1ccc(OCc2ncccc2)cc1,4.0
Q16539,c1(C)n(C)cc(-c2ccc(C)c(NC(c3ccc(OCc4ccccn4)cc3)=O)c2)n1,4.0
Q16539,c1(OCc2ncccc2)ccc(C(Nc2c(C)ccc(-c3nc(C)n(C)c3)c2)=O)cc1,4.0
Q16539,c1c(OCc2ccccn2)ccc(C(=O)Nc2cc(-c3cn(C)c(C)n3)ccc2C)c1,4.0
