target_id,smiles,pAc
P23458,CCOC(=O)CN1C=C(N=N1)C2=CC=C(C=C2)C3=NC(=C(N3)C4=CC=C(C=C4)F)C5=CC(=O)NC=C5,4.1
P23458,[H+].CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3.[Cl-],4.4
P23458,C1=CC2=C(C=C1C(=O)N)N=C(N2CCN)C3=CC=NC=C3,4.49
P23458,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC,4.6
P23458,CCOP(=O)(CCN1C=C(N=N1)C2=CC=C(C=C2)C3=NC(=C(N3)C4=CC=C(C=C4)F)C5=CC(=O)NC=C5)OCC,4.62
P23458,C=CC(=O)C1=CC2=CC=CC=C2C=C1,4.7
P23458,C1=CC=C(C=C1)CC2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,4.74
P23458,C1CNCCC1C2=NC(=C(N2)C3=CC=C(C=C3)F)C4=CC(=O)NC=C4,4.77
P23458,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=C(C=C3)F)C4=CC(=O)NC=C4)C(=O)[O-].[Na+],4.85
P23458,C[C@H](C(=O)N1CC(C1)C#N)NC(=O)C2=CNC3=NC=C(N=C23)OC4=CC5=C(CC[C@H]5NC(=O)C)C=C4,4.94
P23458,C1=CC=C(C=C1)C2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,4.94
P23458,C1=CC=C(C=C1)C2=NC3=C(N2CCCN)C=CC(=C3)C(=O)N,4.95
P23458,C1C(CN1C2=CC(=NC=C2)F)C3=CC(=CC=C3)NC4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,4.95
P23458,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(=O)NC3=CC(=C(C=C3)OC4=C5C=C(C(=CC5=NC=C4)OC)OC)F,5
P23458,C1CCN(CC1)C2=NC3=C(C=CNC3=O)C(=N2)N[C@@H]4CCC[C@@H]4C#N,5
P23458,C1=CC(=CC=C1C2=NC3=C(N2CCN)C=CC(=C3)C(=O)N)C(F)(F)F,5.03
P23458,CC(C)(C)NC(=O)C1=CN=C(C2=C1SC(=C2)C3=CC=C(C=C3)N4CCOCC4)N,5.05
P23458,COC1=CC=C(C=C1)C2=C3C(=CC=C2)N=C(O3)NC4=CC(=C(C(=C4)OC)OC)OC,5.05
P23458,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)NC4=CC=C(C=C4)OCCCN5C=CN=C5,5.06
P23458,C1COCCN1C2=C3COCC=CCOCC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2,5.06
P23458,C[C@H](C1=NC2=CN=C3C(=C2N1[C@@H]4CCCN(C4)C(=O)CC#N)C=CN3)O,5.09
P23458,CC(C)NC(=O)C1=CNC2=NC=C(N=C12)OC3=CC(=CC(=C3)OC)OC,5.09
P23458,C1=CC(=C(N=C1)N)C2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,5.09
P23458,C1/C=C/COCC2=CC=C(O2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CO1,5.1
P23458,C1C[C@@H]([C@@H](C1)NC2=NC(=NC3=C2C=CNC3=O)C4=CNN=C4)C#N,5.11
P23458,CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,5.14
P23458,C1COCCN1C2=CC(=C(C=C2)C(F)(F)F)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,5.19
P23458,CC(C)NC(=O)C1=CNC2=NC=C(N=C12)OC3=CC4=C(CC[C@H]4NC(=O)C)C=C3,5.2
P23458,C1=CC2=C(C=C1C(=O)N)N=C(N2CCCN)CCN,5.21
P23458,CCN1C(=CC2=C3C(=C(N=C21)NC4=NN(C(=N4)C)C)N=CN3C)C(=O)N(C5CC5)C6CC6,5.22
P23458,COC1=CC=C(C=C1)C2=CC=CC3=NC(=NN32)NS(=O)(=O)C4CC4,5.24
P23458,COC1=C2COCC=CCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1,5.24
P23458,COC1=CC(=CC(=C1OC)OC)NC2=NC3=CC=CC(=C3O2)C4=CC(=CC=C4)Cl,5.28
P23458,CN1C=CN=C1CCC2=NC3=CN=C4C(=C3N2C5CCN(CC5)CCC#N)C=CN4,5.28
P23458,CC1=CN=C2NC3=CC(=C(C=C3)OCCN4CCCC4)COC/C=C/CN5C=CC6=C5C=C(C1=N2)C=C6,5.29
P23458,CC1=CC=CC=C1OC2=CN=C3C(=N2)C(=CN3)C(=O)NC(C)C,5.29
P23458,COC1=C2C=C(COCC=CCOCC3=C(C=CC(=C3)NC4=NC=CC2=N4)OCCN5CCCC5)C=C1,5.31
P23458,C1CN(C[C@@H]1OC2=CC=CC(=C2)NC3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54)C6=CC(=NC=C6)F,5.31
P23458,C1/C=C/COCC2=CC(=CC=C2)NC3=NC=CC(=N3)C4=CC5=C(C=C4)C=CN51,5.32
P23458,C1CN(CCC1OC2=CC=CC(=C2)NC3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54)C6=CC(=NC=C6)F,5.32
P23458,CN(C)C1=CC(=C(C=C1)C(F)(F)F)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43,5.33
P23458,COC1=CC(=CC(=C1OC)OC)C2=NC3=C(C=CC=C3N=C2)C4=C(C=C(C=C4)CN5CCOCC5)F,5.33
P23458,C1CCN(C1)CCOC2=C3COCC=CCOCC4=C(C=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)F,5.34
P23458,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N,5.36
P23458,CC(C)NC(=O)C1=CNC2=NC=C(N=C12)OC3=CC4=C(CC[C@@H]4NC(=O)C)C=C3,5.36
P23458,C1CCC(CC1)C2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,5.37
P23458,CN1CCN(CC1)CC2=CC=C(C=C2)C3=CC=CC4=NC(=NN43)NC(=O)C5CC5,5.375
P23458,CCC1=CC(=CC=C1)OC2=CN=C3C(=N2)C(=CN3)C(=O)NC(C)C,5.38
P23458,CS(=O)(=O)NCC1=NC2=CN=C3C(=C2N1C4CC5CCC4O5)C=CN3,5.38
P23458,C1C(CN1C2=CC(=NC=C2)F)OC3=CC=CC(=C3)NC4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,5.39
P23458,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,5.43
P23458,CC1=CC=C(C=C1)C2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,5.43
P23458,CN(C)CCN(C)C1=C2COCC=CCOCC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1,5.44
P23458,CN1CCN(CC1)C2=C3COCC=CCOCC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2,5.44
P23458,CCN(CC)CCOC1=C2COCC=CCOCC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1,5.46
P23458,CC(C)NC(=O)C1=CNC2=NC=C(N=C12)OC3=CC=C(C=C3)C#N,5.46
P23458,C1=CC2=C(C=C1C(=O)N)N=C(N2CCN)C3=CN=CN=C3,5.47
P23458,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,5.47
P23458,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C(=N3)N(C(=N4)NC5=CC=CC=C5)C6CCCC6,5.48
P23458,CC(C)NC(=O)C1=CNC2=NC=C(N=C12)OC3=CC4=C(CCC4)C=C3,5.48
