target_id,smiles,pAc
Q16539,C1=CC=C(C=C1)COC2=C(N=CC=C2)N,3.445
Q16539,C[C@@H]1[C@@H]([C@H](O[C@@H]1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C,3.6
Q16539,C1OC2=C(O1)C=C(C=C2)C(CC(=O)C3=CC4=C(C=C3)OCO4)C(=O)O,3.71
Q16539,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,3.78
Q16539,C1=CC=C(C=C1)CN2C=C(N=N2)C3=NC(=C(O3)C4=CC=NC=C4)C5=CC=C(C=C5)F,3.8
Q16539,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC,4
Q16539,CN1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO,4
Q16539,CC1=C(C=C(C=C1)C2=NNC(=C2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4
Q16539,CC1=C(C=C(C=C1)C2=NC=C(N2C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4
Q16539,CC1=C(C=C(C=C1)C2=CN(C(=N2)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4
Q16539,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)CN4CCN(CC4)C,4
Q16539,CC1=C(C=C(C=C1)C2=C(N(N=C2C)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4
Q16539,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCN(CC4)C,4
Q16539,CC1=C(C=C(C=C1)C2=C(NC=N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4
Q16539,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,4
Q16539,C\1NC/C(=C\C2=CC=CC=C2F)/C(=O)/C1=C/C3=CC=CC=C3F,4.04
Q16539,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,4.06
Q16539,C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC=CC=C4F,4.06
Q16539,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,4.08
Q16539,CSC1=NC=CC(=N1)C2=C(N=C(N2)C3=CC=C(C=C3)C#C)C4=CC=C(C=C4)F,4.09
Q16539,C=CC1=C(C=CN(C1=O)CC2=CC=CC=C2)OCC3=CC=CC=C3,4.14
Q16539,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,4.17
Q16539,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,4.18
Q16539,C1=CC=C(C=C1)C(=O)C2=C(N(N=C2)C3=CC(=CC=C3)[N+](=O)[O-])N,4.19
Q16539,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,4.21
Q16539,CC1=CC=CC(=N1)C2=C(N=C(N2)NC(=O)C)C3=CN4C(=NC=N4)C=C3,4.24
Q16539,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,4.25
Q16539,CCOC(=O)CN1C(=CN=N1)C2=NC(=C(N2C)C3=CC=NC=C3)C4=CC=C(C=C4)F,4.25
Q16539,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,4.26
Q16539,C1=CC=C(C(=C1)N)S/C(=C(/C(=C(/SC2=CC=CC=C2N)\N)/C#N)\C#N)/N,4.26
Q16539,CC1=CN(C(=O)C=C1)C2=CC=C(C=C2)OCCN3CCCCC3,4.27
Q16539,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)OC)O,4.28
Q16539,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,4.285
Q16539,COC1=C(C=CC(=C1)[C@H]2CC(=O)OC3=CC(=C4C[C@@H]([C@H](OC4=C23)C5=CC(=C(C(=C5)O)OC)O)O)O)O,4.29
Q16539,C1=CC=C(C=C1)/C(=N\O)/C2=C(N(N=C2)C3=CC=CC=C3)N,4.29
Q16539,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,4.3
Q16539,CC(C)N1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)C4=NC(=NC(=N4)N5C6CCC5COC6)C7CCOCC7,4.3
Q16539,C1=CC=C(C=C1)COC2=C(C(=O)N(C=C2)CC3=CC(=CC=C3)F)C(F)(F)F,4.3
Q16539,CC1=C(C=CC(=N1)C2=C(N=C(N2)N3CCOCC3)C4=CN5C(=NC=N5)C=C4)F,4.33
Q16539,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,4.36
Q16539,C1=CC=C(C=C1)CN2C=CC(=CC2=O)OCC3=CC=CC=C3,4.37
Q16539,CC1=C(C=CC(=N1)C2=C(N=C(N2)N3CCN(CC3)S(=O)(=O)C)C4=CN5C(=NC=N5)C=C4)F,4.39
Q16539,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,4.4
Q16539,COC1=C(C=C(C=C1O)[C@@H]2[C@@H](CC3=C(C=C(C=C3O2)O)O)O)O,4.41
Q16539,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,4.43
Q16539,CC1=C(C=C(C=C1)C2=CN=C(N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4.44
Q16539,C\1NC/C(=C\C2=CC=CC=N2)/C(=O)/C1=C/C3=CC=CC=N3,4.46
Q16539,C1=CC=C(C=C1)CSC2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,4.46
Q16539,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,4.47
Q16539,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O)OC,4.48
Q16539,CCOC(=O)CN1C=C(N=N1)C2=CC=C(C=C2)C3=NC(=C(N3)C4=CC=C(C=C4)F)C5=CC(=O)NC=C5,4.48
Q16539,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,4.48
Q16539,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,4.48
Q16539,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O,4.49
Q16539,CC1=C(C=CC2=C1C=CN2)NC3=C(C=NC=C3C#N)/C=C/CCN4CCC[C@H](C4)N,4.49
Q16539,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,4.52
Q16539,CC1=C(C=C(C=C1)C2=NC=C(S2)CN3CCOCC3)NC(=O)C4=CC=C(C=C4)OCC5=CC=CC=N5,4.52
Q16539,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3N2)NC(=O)C4=CC=C(C=C4)OCC5=CC=CC=N5,4.52
Q16539,COC(=O)N1CCC(CC1)N2C3=C(C=N2)C(=NC(=N3)C4=CC=C(C=C4)N)N5CCOCC5,4.54
