target_id,smiles,pAc
O75116,COC1=C(C=C(C=C1)CC(=O)NC2=CC=CC(=C2)C(=O)NCCC3CCCNC3)OC,2.49
O75116,c1(NC(=O)Cc2cc(OC)c(OC)cc2)cccc(C(=O)NCCC2CNCCC2)c1,2.49
O75116,C1C(CCNC(c2cccc(NC(=O)Cc3cc(OC)c(OC)cc3)c2)=O)CCCN1,2.49
O75116,C(=O)(Cc1cc(OC)c(OC)cc1)Nc1cc(C(=O)NCCC2CNCCC2)ccc1,2.49
O75116,C(CNC(c1cc(NC(=O)Cc2cc(OC)c(OC)cc2)ccc1)=O)C1CCCNC1,2.49
O75116,c1(OC)ccc(CC(Nc2cc(C(NCCC3CCCNC3)=O)ccc2)=O)cc1OC,2.49
O75116,C(NC(=O)c1cccc(NC(Cc2ccc(OC)c(OC)c2)=O)c1)CC1CNCCC1,2.49
O75116,C1(CCNC(c2cccc(NC(=O)Cc3ccc(OC)c(OC)c3)c2)=O)CNCCC1,2.49
O75116,C1NCCCC1CCNC(c1cc(NC(=O)Cc2cc(OC)c(OC)cc2)ccc1)=O,2.49
O75116,c1ccc(NC(Cc2ccc(OC)c(OC)c2)=O)cc1C(=O)NCCC1CNCCC1,2.49
O75116,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC=C(C=C3)C#N,2.77
O75116,c1(CN(C)C)ccc(NC(=O)c2cc(CNC(=O)c3ccc(C#N)cc3)ccc2)cc1,2.77
O75116,CN(Cc1ccc(NC(c2cc(CNC(c3ccc(C#N)cc3)=O)ccc2)=O)cc1)C,2.77
O75116,C(#N)c1ccc(C(NCc2cc(C(Nc3ccc(CN(C)C)cc3)=O)ccc2)=O)cc1,2.77
O75116,CN(C)Cc1ccc(NC(=O)c2cc(CNC(=O)c3ccc(C#N)cc3)ccc2)cc1,2.77
O75116,C(#N)c1ccc(C(NCc2cccc(C(=O)Nc3ccc(CN(C)C)cc3)c2)=O)cc1,2.77
