target_id,smiles,pAc
P49841,C1COCCN1CCNC2=NC3=CC=CC=C3C4=C2C5=CC=CC=C5N4,1.3
P49841,c12nc(NCCN3CCOCC3)c3c(c1cccc2)[nH]c1ccccc31,1.3
P49841,c12c(NCCN3CCOCC3)nc3ccccc3c1[nH]c1ccccc21,1.3
P49841,c1cc2c(c3c(c(NCCN4CCOCC4)n2)c2c(cccc2)[nH]3)cc1,1.3
P49841,c1cccc2c1c1[nH]c3ccccc3c1c(NCCN1CCOCC1)n2,1.3
P49841,n1c2c(c3c(c4c(cccc4)[nH]3)c1NCCN1CCOCC1)cccc2,1.3
P49841,c1ccc2c(c3c(NCCN4CCOCC4)nc4c(c3[nH]2)cccc4)c1,1.3
P49841,C(Nc1nc2c(c3[nH]c4c(cccc4)c31)cccc2)CN1CCOCC1,1.3
P49841,C(Nc1c2c(c3ccccc3n1)[nH]c1ccccc12)CN1CCOCC1,1.3
P49841,C(N1CCOCC1)CNc1c2c(c3ccccc3n1)[nH]c1ccccc12,1.3
P49841,CCN(CC1=CN2C=CC=CC2=N1)CC3=NC(=O)C4=CC(=C(C=C4N3)OC)OC,1.3
P49841,c1(CN(CC)Cc2nc(=O)c3c(cc(OC)c(OC)c3)[nH]2)cn2c(cccc2)n1,1.3
P49841,c1n2cc(CN(CC)Cc3[nH]c4cc(OC)c(OC)cc4c(=O)n3)nc2ccc1,1.3
P49841,c1c2n(cc(CN(Cc3nc(=O)c4cc(OC)c(OC)cc4[nH]3)CC)n2)ccc1,1.3
P49841,C(N(Cc1nc(=O)c2c(cc(OC)c(OC)c2)[nH]1)Cc1nc2ccccn2c1)C,1.3
P49841,n12ccccc1nc(CN(Cc1nc(=O)c3c(cc(OC)c(OC)c3)[nH]1)CC)c2,1.3
P49841,n1c(CN(Cc2nc(=O)c3c(cc(OC)c(OC)c3)[nH]2)CC)cn2ccccc12,1.3
P49841,n1c2ccccn2cc1CN(CC)Cc1nc(=O)c2cc(OC)c(OC)cc2[nH]1,1.3
P49841,c1cccc2nc(CN(Cc3nc(=O)c4c([nH]3)cc(OC)c(OC)c4)CC)cn12,1.3
P49841,C(N(Cc1cn2c(cccc2)n1)Cc1nc(=O)c2cc(OC)c(OC)cc2[nH]1)C,1.3
P49841,COC1=CC=C(C=C1)CNC(=O)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-],2.44
P49841,O=C(NCc1ccc(OC)cc1)Nc1sc2cc([N+](=O)[O-])ccc2n1,2.44
P49841,O=[N+]([O-])c1cc2sc(NC(NCc3ccc(OC)cc3)=O)nc2cc1,2.44
P49841,n1c2ccc([N+]([O-])=O)cc2sc1NC(NCc1ccc(OC)cc1)=O,2.44
P49841,n1c2c(sc1NC(=O)NCc1ccc(OC)cc1)cc([N+](=O)[O-])cc2,2.44
P49841,c1(OC)ccc(CNC(=O)Nc2sc3c(ccc([N+]([O-])=O)c3)n2)cc1,2.44
P49841,c1c(OC)ccc(CNC(Nc2nc3c(cc([N+](=O)[O-])cc3)s2)=O)c1,2.44
P49841,c1c(OC)ccc(CNC(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)c1,2.44
P49841,N(Cc1ccc(OC)cc1)C(=O)Nc1sc2cc([N+]([O-])=O)ccc2n1,2.44
P49841,c1([N+](=O)[O-])cc2sc(NC(NCc3ccc(OC)cc3)=O)nc2cc1,2.44
P49841,CCCC(=O)NC1=NNC2=CC(=C(C=C21)C3=CC=CC=C3)C4=CC=CC=C4,2.76
P49841,CCCC(Nc1c2cc(-c3ccccc3)c(-c3ccccc3)cc2[nH]n1)=O,2.76
P49841,c1c(-c2c(-c3ccccc3)cc3c(c(NC(CCC)=O)n[nH]3)c2)cccc1,2.76
P49841,n1c(NC(CCC)=O)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[nH]1,2.76
P49841,c1(NC(CCC)=O)c2c(cc(-c3ccccc3)c(-c3ccccc3)c2)[nH]n1,2.76
P49841,c1c(-c2ccccc2)c(-c2ccccc2)cc2[nH]nc(NC(CCC)=O)c12,2.76
P49841,C(CC(Nc1n[nH]c2c1cc(-c1ccccc1)c(-c1ccccc1)c2)=O)C,2.76
P49841,c1c2c(cc(-c3ccccc3)c1-c1ccccc1)c(NC(CCC)=O)n[nH]2,2.76
P49841,c1(-c2c(-c3ccccc3)cc3c(NC(=O)CCC)n[nH]c3c2)ccccc1,2.76
P49841,c1(-c2ccccc2)cc2[nH]nc(NC(=O)CCC)c2cc1-c1ccccc1,2.76
P49841,COC1=CC=C(C=C1)CNC(=O)NC2=NC=CC(=C2)C#N,2.84
P49841,c1(OC)ccc(CNC(Nc2nccc(C#N)c2)=O)cc1,2.84
P49841,c1c(OC)ccc(CNC(Nc2cc(C#N)ccn2)=O)c1,2.84
P49841,O=C(NCc1ccc(OC)cc1)Nc1nccc(C#N)c1,2.84
P49841,C(NC(=O)Nc1nccc(C#N)c1)c1ccc(OC)cc1,2.84
P49841,c1c(OC)ccc(CNC(=O)Nc2cc(C#N)ccn2)c1,2.84
P49841,c1(NC(NCc2ccc(OC)cc2)=O)cc(C#N)ccn1,2.84
P49841,c1(NC(=O)NCc2ccc(OC)cc2)cc(C#N)ccn1,2.84
P49841,n1ccc(C#N)cc1NC(NCc1ccc(OC)cc1)=O,2.84
P49841,N(Cc1ccc(OC)cc1)C(=O)Nc1nccc(C#N)c1,2.84
P49841,CN1C2=C(C=C(C=C2)[N+](=O)[O-])C3=C1C4=CC=CC=C4N=C(C3)SC,3.0
P49841,c1c2c(ccc1)N=C(SC)Cc1c3cc([N+]([O-])=O)ccc3n(C)c1-2,3.0
P49841,c12c(c3cc([N+](=O)[O-])ccc3n1C)CC(SC)=Nc1c-2cccc1,3.0
P49841,c12ccc([N+](=O)[O-])cc1c1c(n2C)-c2ccccc2N=C(SC)C1,3.0
P49841,C1c2c3c(n(C)c2-c2ccccc2N=C1SC)ccc([N+]([O-])=O)c3,3.0
P49841,c1c2c(c3c(n2C)-c2c(cccc2)N=C(SC)C3)cc([N+]([O-])=O)c1,3.0
P49841,CSC1=Nc2ccccc2-c2n(C)c3c(c2C1)cc([N+]([O-])=O)cc3,3.0
P49841,C1(SC)=Nc2c(cccc2)-c2n(C)c3c(cc([N+](=O)[O-])cc3)c2C1,3.0
P49841,c1ccc2c(c1)N=C(SC)Cc1c3cc([N+]([O-])=O)ccc3n(C)c1-2,3.0
P49841,N1=C(SC)Cc2c3cc([N+](=O)[O-])ccc3n(C)c2-c2ccccc21,3.0
P49841,C1C(SC2=CC=CC=C2NC1=O)C3=CC=CS3,3.08
P49841,C1(=O)Nc2ccccc2SC(c2sccc2)C1,3.08
P49841,s1cccc1C1Sc2c(cccc2)NC(=O)C1,3.08
P49841,c1cccc2c1SC(c1cccs1)CC(=O)N2,3.08
P49841,O=C1CC(c2sccc2)Sc2c(cccc2)N1,3.08
P49841,c12c(cccc1)SC(c1sccc1)CC(=O)N2,3.08
P49841,O=C1Nc2c(cccc2)SC(c2cccs2)C1,3.08
P49841,N1c2ccccc2SC(c2sccc2)CC1=O,3.08
P49841,c1c2c(ccc1)NC(=O)CC(c1sccc1)S2,3.08
P49841,c1(C2Sc3c(cccc3)NC(=O)C2)sccc1,3.08
P49841,CC1=C2C(=C(C=C(C2=NC=C1)NCC3=CC=C(C=C3)O)O)OC4=CC=CC(=C4)C(F)(F)F,3.12
P49841,Cc1c2c(Oc3cccc(C(F)(F)F)c3)c(O)cc(NCc3ccc(O)cc3)c2ncc1,3.12
P49841,O(c1c(O)cc(NCc2ccc(O)cc2)c2nccc(C)c21)c1cccc(C(F)(F)F)c1,3.12
P49841,c1(O)cc(NCc2ccc(O)cc2)c2c(c(C)ccn2)c1Oc1cccc(C(F)(F)F)c1,3.12
