target_id,smiles,pAc
Q05397,COC1=CC=C(C=C1)CNC2=C3C4=CC=CC=C4OC3=NC=C2,3.71
Q05397,o1c2nccc(NCc3ccc(OC)cc3)c2c2ccccc12,3.71
Q05397,n1c2oc3ccccc3c2c(NCc2ccc(OC)cc2)cc1,3.71
Q05397,o1c2c(cccc2)c2c1nccc2NCc1ccc(OC)cc1,3.71
Q05397,c1cc(OC)ccc1CNc1ccnc2oc3ccccc3c12,3.71
Q05397,c1cc2oc3c(c2cc1)c(NCc1ccc(OC)cc1)ccn3,3.71
Q05397,c1cc(CNc2c3c(ncc2)oc2ccccc23)ccc1OC,3.71
Q05397,C(c1ccc(OC)cc1)Nc1c2c3c(cccc3)oc2ncc1,3.71
Q05397,c1cc2c(oc3nccc(NCc4ccc(OC)cc4)c32)cc1,3.71
Q05397,c1c(OC)ccc(CNc2ccnc3c2c2ccccc2o3)c1,3.71
Q05397,C1C(=O)NN=C2N1C3=CC=CC=C3OC2,3.81
Q05397,C1N2c3c(cccc3)OCC2=NNC1=O,3.81
Q05397,C1C(=O)NN=C2COc3c(cccc3)N12,3.81
Q05397,c1ccc2c(c1)N1C(=NNC(=O)C1)CO2,3.81
Q05397,N1=C2COc3c(cccc3)N2CC(=O)N1,3.81
Q05397,O=C1CN2C(=NN1)COc1ccccc12,3.81
Q05397,N1=C2COc3c(cccc3)N2CC(=O)N1,3.81
Q05397,c1cccc2c1OCC1=NNC(=O)CN21,3.81
Q05397,O=C1CN2C(=NN1)COc1ccccc12,3.81
Q05397,c12c(cccc1)OCC1=NNC(=O)CN21,3.81
Q05397,CC(=O)NC1=CC=CC=C1NC2=NC(=NC(=N2)C(F)(F)F)NC3=CC(=C(C(=C3)OC)OC)OC,3.9
Q05397,C(c1nc(Nc2cc(OC)c(OC)c(OC)c2)nc(Nc2c(NC(=O)C)cccc2)n1)(F)(F)F,3.9
Q05397,c1(NC(=O)C)c(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)nc(C(F)(F)F)n2)cccc1,3.9
Q05397,N(c1cc(OC)c(OC)c(OC)c1)c1nc(Nc2ccccc2NC(C)=O)nc(C(F)(F)F)n1,3.9
